Name,Code,,
宝安地产,40,,
中洲控股,42,,
中航地产,43,,
深纺织A,45,,
泛海控股,46,,
ST中侨,47,,
康达尔,48,,
德赛电池,49,,
深天马A,50,,
方大集团,55,,
皇庭国际,56,,
深赛格,58,,
*ST华锦,59,,
中金岭南,60,,
农产品,61,,
深圳华强,62,,
中兴通讯,63,,
北方国际,65,,
长城电脑,66,,
*ST华赛,68,,
华侨城A,69,,
特发信息,70,,
海王生物,78,,
盐田港,88,,
深圳机场,89,,
天健集团,90,,
广聚能源,96,,
中信海直,99,,
TCL集团,100,,
宜华健康,150,,
中成股份,151,,
丰原药业,153,,
*ST川化,155,,
华数传媒,156,,
中联重科,157,,
常山股份,158,,
国际实业,159,,
申万宏源,166,,
东方市场,301,,
美的集团,333,,
潍柴动力,338,,
许继电气,400,,
冀东水泥,401,,
金融街,402,,
ST生化,403,,
华意压缩,404,,
ST鑫光,405,,
石油大明,406,,
胜利股份,407,,
金谷源,408,,
山东地矿,409,,
沈阳机床,410,,
英特集团,411,,
ST五环,412,,
东旭光电,413,,
渤海租赁,415,,
民生控股,416,,
合肥百货,417,,
小天鹅A,418,,
通程控股,419,,
吉林化纤,420,,
南京中北,421,,
湖北宜化,422,,
东阿阿胶,423,,
徐工机械,425,,
兴业矿业,426,,
华天酒店,428,,
粤高速A,429,,
张家界,430,,
晨鸣纸业,488,,
山东路桥,498,,
鄂武商A,501,,
绿景控股,502,,
海虹控股,503,,
南华生物,504,,
珠江控股,505,,
中润资源,506,,
珠海港,507,,
琼民源A,508,,
华塑控股,509,,
*ST金路,510,,
烯碳新材,511,,
丽珠集团,513,,
渝开发,514,,
攀渝钛业,515,,
国际医学,516,,
荣安地产,517,,
四环生物,518,,
江南红箭,519,,
长航凤凰,520,,
美菱电器,521,,
白云山A,522,,
广州浪奇,523,,
岭南控股,524,,
红太阳,525,,
银润投资,526,,
美的电器,527,,
柳工,528,,
广弘控股,529,,
大冷股份,530,,
穗恒运A,531,,
力合股份,532,,
万家乐,533,,
万泽股份,534,,
*ST猴王,535,,
华映科技,536,,
